#PX PY PZ PW#
0.0 0.0 1.0 1.0
0.0 0.141421356237 0.989949493661 1.44815468787
0.0 0.316227766017 0.948683298051 2.02385770251
0.0 0.514495755428 0.857492925713 2.5825669292
0.0 0.707106781187 0.707106781187 2.82842712475
0.0 0.857492925713 0.514495755428 2.5825669292
0.0 0.948683298051 0.316227766017 2.02385770251
0.0 0.989949493661 0.141421356237 1.44815468787
0.0 1.0 0.0 1.0
0.141421356237 0.0 0.989949493661 1.44815468787
0.141421356237 0.989949493661 0.0 1.44815468787
0.162221421131 0.162221421131 0.973328526785 2.1857202005
0.162221421131 0.973328526785 0.162221421131 2.1857202005
0.182574185835 0.36514837167 0.912870929175 3.11593277158
0.182574185835 0.912870929175 0.36514837167 3.11593277158
0.196116135138 0.588348405415 0.784464540553 3.86197927657
0.196116135138 0.784464540553 0.588348405415 3.86197927657
0.316227766017 0.0 0.948683298051 2.02385770251
0.316227766017 0.948683298051 0.0 2.02385770251
0.36514837167 0.182574185835 0.912870929175 3.11593277158
0.36514837167 0.912870929175 0.182574185835 3.11593277158
0.408248290464 0.408248290464 0.816496580928 4.35464843161
0.408248290464 0.816496580928 0.408248290464 4.35464843161
0.426401432711 0.639602149067 0.639602149067 4.96176212609
0.514495755428 0.0 0.857492925713 2.5825669292
0.514495755428 0.857492925713 0.0 2.5825669292
0.588348405415 0.196116135138 0.784464540553 3.86197927657
0.588348405415 0.784464540553 0.196116135138 3.86197927657
0.639602149067 0.426401432711 0.639602149067 4.96176212609
0.639602149067 0.639602149067 0.426401432711 4.96176212609
0.707106781187 0.0 0.707106781187 2.82842712475
0.707106781187 0.707106781187 0.0 2.82842712475
0.784464540553 0.196116135138 0.588348405415 3.86197927657
0.784464540553 0.588348405415 0.196116135138 3.86197927657
0.816496580928 0.408248290464 0.408248290464 4.35464843161
0.857492925713 0.0 0.514495755428 2.5825669292
0.857492925713 0.514495755428 0.0 2.5825669292
0.912870929175 0.182574185835 0.36514837167 3.11593277158
0.912870929175 0.36514837167 0.182574185835 3.11593277158
0.948683298051 0.0 0.316227766017 2.02385770251
0.948683298051 0.316227766017 0.0 2.02385770251
0.973328526785 0.162221421131 0.162221421131 2.1857202005
0.989949493661 0.0 0.141421356237 1.44815468787
0.989949493661 0.141421356237 0.0 1.44815468787
1.0 0.0 0.0 1.0
#TI1 TI2 TI3#
8 10 7
10 18 12
18 25 20
25 31 27
31 36 33
36 40 38
40 43 41
43 44 42
7 12 6
12 20 14
20 27 22
27 33 29
33 38 34
38 41 37
41 42 39
6 14 5
14 22 16
22 29 23
29 34 28
34 37 32
37 39 35
5 16 4
16 23 15
23 28 21
28 32 26
32 35 30
4 15 3
15 21 13
21 26 19
26 30 24
3 13 2
13 19 11
19 24 17
2 11 1
11 17 9
1 9 0
10 7 12
18 12 20
25 20 27
31 27 33
36 33 38
40 38 41
43 41 42
12 6 14
20 14 22
27 22 29
33 29 34
38 34 37
41 37 39
14 5 16
22 16 23
29 23 28
34 28 32
37 32 35
16 4 15
23 15 21
28 21 26
32 26 30
15 3 13
21 13 19
26 19 24
13 2 11
19 11 17
11 1 9
